candidate_id,rank,score,reasoning
CAND_0061257,14,0.733927,"8-year Staff Machine Learning Engineer at LinkedIn (Noida, Uttar Pradesh, India); advanced skills in PEFT, Haystack, Time Series, Machine Learning. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0041669,15,0.733333,"8-year Recommendation Systems Engineer at CRED (Noida, Uttar Pradesh, India); advanced skills in FAISS, Milvus, PEFT, MLflow. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0053605,16,0.732897,"7-year Senior Software Engineer (ML) at Verloop.io (Noida, Uttar Pradesh, India); advanced skills in LangChain, CNN, pgvector, Semantic Search. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0077337,17,0.731357,"7-year Staff Machine Learning Engineer at Paytm (Kochi, Kerala, India); advanced skills in Semantic Search, QLoRA, pgvector, Pinecone. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0075574,18,0.729944,"6-year Machine Learning Engineer at Haptik (Bangalore, Karnataka, India); advanced skills in Hugging Face Transformers, pgvector, Weaviate, Recommendation Systems. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0066999,19,0.729354,"6-year Recommendation Systems Engineer at Microsoft (Delhi, Delhi, India); advanced skills in Image Classification, OpenSearch, FAISS, LLMs. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0068811,20,0.729346,"8-year Applied ML Engineer at Freshworks (Pune, Maharashtra, India); advanced skills in Vector Search, Speech Recognition, TTS, Qdrant. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0096142,21,0.728546,"5 years experience as Applied ML Engineer at upGrad; skills include LoRA, Weaviate, Pinecone, Python. Concerns: 120-day notice period."
CAND_0052328,22,0.727268,"6 years experience as Recommendation Systems Engineer at Amazon; skills include LoRA, OpenSearch, QLoRA, Image Classification. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0011687,23,0.727201,"8 years experience as Senior NLP Engineer at Niramai; skills include TensorFlow, OpenSearch, FAISS, PEFT. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0017960,24,0.725653,"8 years experience as Recommendation Systems Engineer at Nykaa; skills include LlamaIndex, QLoRA, Hugging Face Transformers, Machine Learning. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0017093,25,0.721213,"6 years experience as ML Engineer at Zoho; skills include Data Science, Embeddings, CNN, BM25. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0015967,26,0.719358,"5 years experience as Senior Software Engineer (ML) at Razorpay; skills include YOLO, Object Detection, ASR, LLMs. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0007009,27,0.718736,"8 years experience as Recommendation Systems Engineer at Wysa; skills include Statistical Modeling, Weaviate, Python, Embeddings. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0086022,28,0.718039,"5 years experience as Senior Applied Scientist at Sarvam AI; skills include Vector Search, MLflow, Recommendation Systems, Deep Learning. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0047521,29,0.717297,"4 years experience as Junior ML Engineer at HCL; skills include YOLO, Speech Recognition, scikit-learn, RAG. Concerns: 120-day notice period."
CAND_0005649,30,0.717073,"7 years experience as Senior Data Scientist at Sarvam AI; skills include Haystack, Prompt Engineering, Deep Learning, TensorFlow. Concerns: 90-day notice period."
CAND_0092255,31,0.715423,"5 years experience as ML Engineer at InMobi; skills include Machine Learning, PyTorch, Weaviate, OpenSearch. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0006418,32,0.71498,"6 years experience as Machine Learning Engineer at Verloop.io; skills include Semantic Search, Embeddings, TensorFlow, Weaviate. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0007596,33,0.713832,"4 years experience as Junior ML Engineer at Flipkart; skills include YOLO, scikit-learn, OpenCV, Statistical Modeling. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0071974,34,0.713341,"8 years experience as Senior AI Engineer at Netflix; skills include LoRA, Learning to Rank, Weaviate, PEFT. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0043860,35,0.710692,"6 years experience as Junior ML Engineer at Aganitha; skills include Semantic Search, Information Retrieval, OpenCV, Forecasting. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0006567,36,0.710661,"8 years experience as Senior AI Engineer at Meta; skills include scikit-learn, Search Backend, Model Adaptation, Vector Representations. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0014292,37,0.710641,"4 years experience as Software Engineer at Nykaa; skills include ASR, Recommendation Systems, Weights & Biases, Speech Recognition. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0068932,38,0.709895,"5 years experience as ML Engineer at Krutrim; skills include MLOps, Reinforcement Learning, RAG, Diffusion Models. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0081852,39,0.709314,"6 years experience as Senior Data Scientist at Mad Street Den; skills include Semantic Search, TTS, Milvus, BentoML. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0099806,40,0.708919,"5 years experience as AI Engineer at Mad Street Den; skills include LoRA, Statistical Modeling, RAG, Prompt Engineering. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0076831,41,0.708763,"4 years experience as Search Engineer at Krutrim; skills include LLMs, Milvus, BM25, Weaviate. Concerns: 90-day notice period."
CAND_0005538,42,0.706609,"6 years experience as Senior AI Engineer at Adobe; skills include Vector Representations, Deep Learning, Content Matching, Feature Engineering. Concerns: 90-day notice period."
CAND_0051004,43,0.706313,"5 years experience as Senior Data Scientist at CRED; skills include Embeddings, Semantic Search, PyTorch, ASR. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0054394,44,0.70563,"4 years experience as Recommendation Systems Engineer at PharmEasy; skills include Prompt Engineering, MLflow, Time Series, Fine-tuning LLMs. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0050454,45,0.702485,"7 years experience as AI Engineer at Rephrase.ai; skills include PyTorch, LangChain, QLoRA, Fine-tuning LLMs. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0098846,46,0.700018,"8 years experience as AI Engineer at upGrad; skills include Hugging Face Transformers, PEFT, QLoRA, Machine Learning. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0011327,47,0.69948,"6 years experience as AI Research Engineer at Krutrim; skills include Weights & Biases, Forecasting, Speech Recognition, Haystack. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0005311,48,0.697492,"6 years experience as AI Research Engineer at Aganitha; skills include LoRA, Feature Engineering, BentoML, Prompt Engineering. Concerns: low recruiter response rate (29%)."
CAND_0027801,49,0.696073,"7 years experience as NLP Engineer at InMobi; skills include FAISS, Milvus, QLoRA, Diffusion Models. Concerns: 120-day notice period."
CAND_0083879,50,0.695982,"7 years experience as Machine Learning Engineer at Ola; skills include Fine-tuning LLMs, Milvus, Data Science, scikit-learn. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0014440,51,0.694979,"6 years experience as Recommendation Systems Engineer at CRED; skills include Elasticsearch, Diffusion Models, Milvus, Machine Learning. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0030784,52,0.692399,"4 years experience as Data Scientist at Yellow.ai; skills include Embeddings, Python, QLoRA, Reinforcement Learning. Concerns: 90-day notice period."
CAND_0011162,53,0.692284,"6 years experience as Recommendation Systems Engineer at upGrad; skills include FAISS, Vector Search, LangChain, CNN. Concerns: 90-day notice period."
CAND_0046064,54,0.691892,"9 years experience as Senior NLP Engineer at Salesforce; skills include Python, Image Classification, OpenCV, Pinecone. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0091909,55,0.691487,"7 years experience as Machine Learning Engineer at Rephrase.ai; skills include LLMs, Image Classification, Pinecone, QLoRA. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0010257,56,0.691015,"6 years experience as Senior Data Scientist at Google; skills include Milvus, TensorFlow, MLflow, Python. Concerns: 120-day notice period."
CAND_0029367,57,0.690656,"6 years experience as Senior Data Scientist at Rephrase.ai; skills include GANs, Haystack, MLflow, TensorFlow. Concerns: 90-day notice period."
CAND_0000031,58,0.689415,"6 years experience as Recommendation Systems Engineer at Swiggy; skills include MLflow, FAISS, Pinecone, Image Classification. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0027691,59,0.689295,"6 years experience as NLP Engineer at Haptik; skills include LoRA, PEFT, Recommendation Systems, Weaviate. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0082248,60,0.688522,4 years experience as Backend Engineer at Hooli; skills include no advanced skills listed. Reasonable fit on skills and experience; ranked lower due to weaker semantic match.
CAND_0010603,61,0.688216,"5 years experience as ML Engineer at BYJU'S; skills include OpenSearch, Image Classification, Deep Learning, Forecasting. Concerns: 90-day notice period."
CAND_0037160,62,0.688138,"6 years experience as Data Scientist at Haptik; skills include TTS, LLMs, Weaviate, Hugging Face Transformers. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0083852,63,0.687967,"6 years experience as Data Scientist at Mad Street Den; skills include Kubeflow, Pinecone, Sentence Transformers. Concerns: 90-day notice period."
CAND_0098952,64,0.687877,"6 years experience as AI Research Engineer at CRED; skills include Recommendation Systems, Diffusion Models, NLP, Reinforcement Learning. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0088025,65,0.687576,"9 years experience as Staff Machine Learning Engineer at Yellow.ai; skills include Pinecone, QLoRA, LLMs, Hugging Face Transformers. Concerns: 90-day notice period."
CAND_0070525,66,0.687482,"5 years experience as Senior Software Engineer (ML) at Mad Street Den; skills include Recommendation Systems, Python, Statistical Modeling, LLMs. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0039587,67,0.687448,"6 years experience as Data Engineer at HCL; skills include Sentence Transformers, Weaviate. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0076163,68,0.687181,"7 years experience as NLP Engineer at Ola; skills include Weaviate, LangChain, Statistical Modeling, BM25. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0093912,69,0.685903,"5 years experience as Senior Data Scientist at Razorpay; skills include Milvus, Embeddings, Recommendation Systems, Vector Search. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0015578,70,0.685142,"5 years experience as AI Engineer at Zoho; skills include Diffusion Models, Embeddings, NLP, Speech Recognition. Concerns: 90-day notice period."
CAND_0097176,71,0.684122,"6 years experience as ML Engineer at TCS; skills include Speech Recognition, LlamaIndex, GANs, PyTorch. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0079387,72,0.683172,"7 years experience as AI Engineer at Microsoft; skills include scikit-learn, Recommendation Systems, Python, Time Series. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0028793,73,0.682492,"7 years experience as Search Engineer at Google; skills include Kubeflow, Embeddings, Haystack, LoRA. Concerns: 120-day notice period."
CAND_0007412,74,0.682471,"7 years experience as Applied ML Engineer at Zoho; skills include scikit-learn, Data Science, Pinecone, Milvus. Concerns: 120-day notice period."
CAND_0039383,75,0.68123,"7 years experience as Applied ML Engineer at Meesho; skills include GANs, FAISS, Kubeflow, Recommendation Systems. Concerns: 90-day notice period."
CAND_0050876,76,0.680674,"6 years experience as Applied ML Engineer at Freshworks; skills include Qdrant, MLOps, FAISS, scikit-learn. Concerns: 90-day notice period."
CAND_0015065,77,0.679283,"4 years experience as AI Research Engineer at Flipkart; skills include LlamaIndex, Learning to Rank, Information Retrieval. Concerns: 90-day notice period."
CAND_0095207,78,0.678507,"4 years experience as Computer Vision Engineer at Ola; skills include Recommendation Systems, MLflow, Feature Engineering, Image Classification. Concerns: 120-day notice period."
CAND_0062247,79,0.677204,"7 years experience as AI Engineer at Google; skills include Image Classification, Pinecone, Vector Search, Qdrant. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0066376,80,0.677152,"6 years experience as Applied ML Engineer at Dream11; skills include Recommendation Systems, LoRA, Learning to Rank, LLMs. Concerns: 90-day notice period."
CAND_0005509,81,0.677012,"6 years experience as Data Scientist at Ola; skills include GANs, Feature Engineering, Qdrant, Weights & Biases. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0069638,82,0.676166,"6 years experience as Computer Vision Engineer at Swiggy; skills include Time Series, Semantic Search, Prompt Engineering, Fine-tuning LLMs. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0097991,83,0.676107,"8 years experience as Software Engineer at Dunder Mifflin; skills include Forecasting, CNN, Deep Learning, scikit-learn. Concerns: 120-day notice period."
CAND_0065195,84,0.675261,"5 years experience as Search Engineer at CRED; skills include LLMs, QLoRA, scikit-learn, Diffusion Models. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0070398,85,0.674843,"7 years experience as Machine Learning Engineer at Genpact AI; skills include Image Classification, Data Science, BM25, RAG. Concerns: 120-day notice period."
CAND_0013440,86,0.673413,"7 years experience as Senior Data Engineer at upGrad; skills include GANs, Embeddings, Haystack, Diffusion Models. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0065786,87,0.672681,"5 years experience as AI Specialist at Swiggy; skills include Learning to Rank, Kubeflow, BentoML, Image Classification. Reasonable fit on skills and experience; ranked lower due to location."
CAND_0062413,88,0.6716,"7 years experience as AI Research Engineer at upGrad; skills include Learning to Rank, OpenSearch, BM25, GANs. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0040521,89,0.670045,"8 years experience as Software Engineer at Meesho; skills include pgvector, Reinforcement Learning, Sentence Transformers. Concerns: low GitHub activity."
CAND_0054829,90,0.669027,"6 years experience as Computer Vision Engineer at BYJU'S; skills include Kubeflow, YOLO, Forecasting, Object Detection. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0074345,91,0.668131,"6 years experience as Analytics Engineer at Zomato; skills include Reinforcement Learning, Statistical Modeling, Information Retrieval, Sentence Transformers. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0061339,92,0.667197,"4 years experience as Search Engineer at Rephrase.ai; skills include Information Retrieval, YOLO, Milvus, BentoML. Concerns: 90-day notice period."
CAND_0003841,93,0.666042,"5 years experience as ML Engineer at Tech Mahindra; skills include Pinecone, Object Detection, Weights & Biases, Sentence Transformers. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0082086,94,0.665809,"6 years experience as Senior Software Engineer (ML) at Razorpay; skills include Feature Engineering, FAISS, Pinecone, PyTorch. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0039522,95,0.665751,"7 years experience as Senior Data Engineer at Ola; skills include Data Science, ASR, OpenCV. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0078066,96,0.664734,"7 years experience as Analytics Engineer at InMobi; skills include GANs, LangChain, Data Science. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0072688,97,0.664713,"7 years experience as Data Scientist at Niramai; skills include Time Series, Object Detection, Forecasting, Recommendation Systems. Concerns: low GitHub activity."
CAND_0064888,98,0.664349,"6 years experience as ML Engineer at Verloop.io; skills include TensorFlow, CNN, Time Series, pgvector. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0018549,99,0.664062,"7 years experience as Recommendation Systems Engineer at Uber; skills include Weaviate, Elasticsearch, LangChain, Qdrant. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
CAND_0065430,100,0.662379,"4 years experience as ML Engineer at Mad Street Den; skills include ASR, Reinforcement Learning, Deep Learning, MLflow. Reasonable fit on skills and experience; ranked lower due to weaker semantic match."
